,stateid,statename,cityid,cityname,suburbid,suburbname,geo_point
6930,2,Vic,24850,Mitchell,22593,Tyaak,"-37.21817358366249, 145.1385242499662"
6931,2,Vic,24900,Moira,22643,Waggarandall,"-36.24489299685816, 145.76690088466"
6932,2,Vic,25810,Northern Grampians,22660,Wallaloo East,"-36.805571997257076, 142.90902785551768"
6933,2,Vic,21270,Buloke,22682,Wangie,"-35.70511740651598, 143.2815470083568"
6934,2,Vic,21270,"Buloke, Yarriambiack",22715,Watchem West,"-36.16429262291552, 142.7185645922279"
6935,2,Vic,21750,Colac Otway,22776,Whoorel,"-38.3703091780606, 143.83597600035628"
6936,2,Vic,23110,Hobsons Bay,22793,Williamstown North,"-37.852620251112505, 144.86894291208176"
6937,2,Vic,22110,East Gippsland,22821,Wombat Creek (Vic.),"-37.762254128458515, 148.25529579009304"
6938,2,Vic,20110,Alpine,22828,Wonnangatta,"-37.13812725157965, 146.81523939597892"
6939,2,Vic,20740,Bass Coast,22848,Woolamai,"-38.50982465738924, 145.51626945615905"
6940,2,Vic,27450,Yarra Ranges,22857,Woori Yallock,"-37.78165594267805, 145.53566221087752"
6941,2,Vic,26610,Swan Hill,22859,Woorinen North,"-35.23972967769268, 143.43136905635217"
6942,2,Vic,24900,Moira,22890,Yalca,"-35.92809134652903, 145.28424151907257"
6943,3,Qld,33430,Gold Coast,30012,Advancetown,"-28.072284276729704, 153.27676871562704"
6944,3,Qld,31000,Brisbane,30032,Algester,"-27.612727178835616, 153.03245169759984"
6945,3,Qld,36660,Southern Downs,30069,Applethorpe,"-28.615446792612666, 151.93303925057887"
6946,3,Qld,35760,North Burnett,30075,Aranbanga,"-25.81531160207556, 151.6549967387182"
6947,3,Qld,34880,Mareeba,30179,Barwidgi,"-17.66598503814833, 144.64018319361264"
6948,3,Qld,36510,Scenic Rim,30193,Beaudesert,"-27.988131736980886, 153.00192448811114"
6949,3,Qld,35760,North Burnett,30204,Beeron,"-25.892427176406848, 151.27263364302777"
6950,3,Qld,37340,Whitsunday,30342,Bowen,"-20.126995766920924, 148.09635261909793"
6951,3,Qld,35760,North Burnett,30350,Boynewood,"-25.637229137215243, 151.27071568747095"
6952,3,Qld,33960,Ipswich,30362,Brassall,"-27.59014009066204, 152.73632573139608"
6953,3,Qld,34580,"Lockyer Valley, Somerset",30374,Brightview,"-27.498559929926728, 152.49920030853448"
6954,3,Qld,36910,Toowoomba,30389,Brookstead,"-27.716210855269573, 151.4289340185401"
6955,3,Qld,33220,Fraser Coast,30392,Brooweena,"-25.576007824669876, 152.25790525654605"
6956,3,Qld,37310,Western Downs,30427,Bundi,"-26.146343003419968, 149.55294834182325"
6957,3,Qld,36660,Southern Downs,30518,Cannon Creek (Southern Downs - Qld),"-28.60570145249273, 151.87406977691123"
6958,3,Qld,37340,Whitsunday,30527,Cape Gloucester,"-20.165342337217876, 148.5267124295842"
6959,3,Qld,36910,Toowoomba,30562,Cattle Creek (Toowoomba - Qld),"-27.676309017717635, 150.79902940416952"
6960,3,Qld,36660,Southern Downs,30627,Clintonvale,"-28.094419979827524, 152.11813949719254"
6961,3,Qld,35760,North Burnett,30690,Coominglah Forest,"-24.897533713790597, 150.97214917800218"
6962,3,Qld,34530,Livingstone,30711,Coowonga,"-23.307344217766747, 150.72960982294248"
6963,3,Qld,35010,Moreton Bay,30816,Dayboro,"-27.20075014697139, 152.82592777896213"
6964,3,Qld,36720,Sunshine Coast,30843,Diddillibah,"-26.645199207389673, 153.02513535279894"
6965,3,Qld,31820,Bundaberg,30880,Drinan,"-25.04546526715108, 152.01223352244926"
6966,3,Qld,32270,Central Highlands,30881,Dromedary (Qld),"-24.591877673471476, 149.1330339469793"
6967,3,Qld,30370,Banana,30890,Dululu,"-23.847973961930737, 150.27486537124918"
6968,3,Qld,31000,Brisbane,30950,Eight Mile Plains,"-27.579483090196423, 153.09243980198838"
6969,3,Qld,36910,Toowoomba,30962,Ellangowan (Qld),"-27.938384576653682, 151.6895498487423"
6970,3,Qld,36150,Quilpie,30982,Eromanga,"-26.33240116217685, 143.00247289804364"
6971,3,Qld,37300,Weipa,31007,Evans Landing,"-12.66129628287514, 141.8521750277125"
6972,3,Qld,36370,Rockhampton,31052,Fletcher Creek,"-23.789342143953295, 150.43414969537324"
6973,3,Qld,32080,Cairns,31087,Freshwater (Qld),"-16.883082003293207, 145.71376126323509"
6974,3,Qld,33620,Gympie,31136,Glanmire (Qld),"-26.227890304121903, 152.69577599895416"
6975,3,Qld,36660,Southern Downs,31148,Glen Niven,"-28.587110303316198, 151.97298892266807"
6976,3,Qld,33220,Fraser Coast,31169,Glenorchy (Qld),"-25.617479178957048, 152.64250991074064"
6977,3,Qld,36370,Rockhampton,31173,Glenroy (Qld),"-23.185145079420654, 149.81756910151725"
6978,3,Qld,36720,Sunshine Coast,31179,Golden Beach (Qld),"-26.820969636252084, 153.1175088783024"
6979,3,Qld,35760,North Burnett,31180,Golden Fleece,"-25.432100152175668, 152.1831965760391"
6980,3,Qld,36630,South Burnett,31186,Goodger,"-26.658513088060793, 151.82365683686743"
6981,3,Qld,36910,Toowoomba,31215,Gowrie Junction,"-27.493017715532513, 151.88039737506733"
6982,3,Qld,36910,Toowoomba,31229,Grapetree,"-27.323967050733266, 152.09680506346652"
6983,3,Qld,33220,Fraser Coast,31271,Gungaloon,"-25.51199634930354, 152.45762334434193"
6984,3,Qld,36820,Tablelands,31321,Herberton,"-17.391435227323093, 145.38420603553593"
6985,3,Qld,36910,Toowoomba,31341,Hirstglen,"-27.838094024950447, 152.09418191055394"
6986,3,Qld,33200,Flinders,31369,Hughenden,"-20.868892195942085, 144.18904243152633"
6987,3,Qld,33610,Goondiwindi,31392,Inglewood (Qld),"-28.38911251291768, 151.06415457538267"
6988,3,Qld,34530,Livingstone,31404,Inverness,"-23.115822858313614, 150.7230638071603"
6989,3,Qld,36630,South Burnett,31411,Ironpot (South Burnett - Qld),"-26.596684800008198, 151.44452470954326"
6990,3,Qld,34880,Mareeba,31412,Irvinebank,"-17.44360753661365, 145.10438054730471"
6991,3,Qld,34710,Longreach,31416,Isisford,"-24.571709161591933, 144.1640565822886"
6992,3,Qld,31900,Burdekin,31434,Jarvisfield,"-19.57797352197752, 147.4962796319933"
6993,3,Qld,33960,Ipswich,31485,Karalee,"-27.560908479520194, 152.82548244866126"
6994,3,Qld,32260,Cassowary Coast,31506,Kennedy,"-18.192105227482287, 145.9546876827154"
6995,3,Qld,33980,Isaac,31528,Kilcummin,"-22.31766223816112, 147.5584287390132"
6996,3,Qld,34770,Mackay,31537,Kinchant Dam,"-21.216929438215615, 148.890416322702"
6997,3,Qld,33610,Goondiwindi,31539,Kindon,"-28.108353490465536, 150.8451038572039"
6998,3,Qld,36910,Toowoomba,31581,Kulpi,"-27.181216776310983, 151.69455059661266"
6999,3,Qld,33980,Isaac,31603,Laglan,"-22.373173368086174, 146.34087219982476"
7000,3,Qld,32500,Cook,31642,Laura (Qld),"-15.495659851516224, 144.1652886029524"
7001,3,Qld,37340,Whitsunday,31746,Mandalay,"-20.269724699289284, 148.73903592328944"
7002,3,Qld,33430,Gold Coast,31785,Maudsland,"-27.93394549293361, 153.2788774441489"
7003,3,Qld,36820,Tablelands,31836,Millaa Millaa,"-17.49902975908374, 145.62210885160658"
7004,3,Qld,36820,Tablelands,31843,Millstream (Qld),"-17.626724534262934, 145.3756469011775"
7005,3,Qld,36820,Tablelands,31856,Minnamoolka,"-18.24909508024012, 145.03747325966415"
7006,3,Qld,34770,Mackay,31859,Mirani,"-21.16377406544424, 148.86353343381043"
7007,3,Qld,31000,Brisbane,31866,Mitchelton,"-27.411951357409833, 152.97033300590678"
7008,3,Qld,33620,Gympie,31881,Monkland,"-26.2120726546019, 152.68576353535101"
7009,3,Qld,36720,Sunshine Coast,31883,Mons,"-26.691699958504664, 153.0250714670129"
7010,3,Qld,37310,Western Downs,31887,Montrose (Western Downs - Qld),"-27.013388537129792, 150.61487687118296"
